serial_no , match_event_id , location_x , location_y , remaining_sec , distance_of_shot , remaining_min , power_of_shot , knockout_match , remaining_sec , distance_of_shot , team_id , match_id , type_of_combined_shot , type_of_shot , home/away , date of game , range_of_shot , area_of_shot , shot_basics , remaining_min , power_of_shot , knockout_match , game_season , shot_id_number , is_goal 
1,12,-157,0,22,35,10,1,28.8,22,35,1610612747,20000012,3,45,0,309,2,2,2,10,1,0,4,2,0
2,35,-101,135,45,36,92.64,1,0,63.7216,54.4,1610612747,20000012,3,25,38,309,3,1,2,7,1,0,4,3,1
3,43,138,175,52,42,18.20461483,1,122.608,52,42,1610612747,20000012,3,39,0,309,3,3,2,6,1,0,4,4,0
4,155,0,0,19,20,42.64,2,0,19,20,1610612747,20000012,1,39,0,309,1,0,3,0,2,0,4,5,1
5,244,-145,-11,32,34,9,3,0,39.02730256,34,1610612747,20000012,3,17,0,309,2,2,2,9,3,0,9,6,0
6,251,0,0,52,20,8,3,0,112.2,89.4,1610612747,20000012,4,39,0,309,1,0,3,8,3,0,4,7,1
8,265,-65,91.1269335,12,32,6,3,0,12,32,1610612747,20000012,3,36,0,309,2,2,4,6,3,0,4,9,1
9,294,-33,91.1269335,36,32,3,3,0,52.2,38.8018519,1610612747,20000012,3,44,0,309,2,0,4,3,3,0,4,10,0
10,309,-94,238,56,45,18.20461483,3,80.928,56,45,1610612747,20000012,3,7,38,309,4,1,1,1,3,0,4,11,0
11,4,121,127,0,37,11,1,106.608,64.7856,16.4,1610612747,20000019,3,39,1,310,3,3,2,11,1,0,4,12,1
12,27,-67,91.1269335,28.32938185,33.44888431,7,77.36,0,9,32,1610612747,20000019,3,44,1,310,2,2,4,7,1,0,9,13,1
13,66,-94,4,44,29,2,68.36,0,44,29,1610612747,20000019,3,39,1,310,2,2,2,0,1,0,4,14,0
14,80,-23,47,16,25,1,1,0,16,25,1610612747,20000019,3,12,1,310,1,0,4,1,1,0,4,15,0
15,86,7.383876043,192,28.32938185,40,94.64,70.36,0,70.7856,40,1610612747,20000019,3,39,1,310,3,0,2,0,1,0,4,16,0
17,138,-117,226,50,45,38.64,2,0,50,38.8018519,1610612747,20000019,3,6,1,310,1,1,2,8,2,0,4,18,1
18,244,7.383876043,97,29,36,11,3,0,29,106.4,1610612747,20000019,3,39,1,310,3,1,2,11,3,0,4,19,0
20,255,3,144,8,34,10,3,0,8,34,1610612747,20000019,3,20,1,310,2,0,2,10,3,0,4,21,0
22,274,-16,110,57,31,7,3,0,57,31,1610612747,20000019,3,44,1,310,2,0,4,7,3,0,4,23,1
23,299,-109,150,47,38,5,3,0,47,38,1610612747,20000019,3,39,1,310,3,1,2,5,3,0,9,24,1
24,307,-46,63,11,27,5,3,0,25.2,27,1610612747,20000019,3,39,1,310,1,0,4,5,3,0,4,25,1
25,332,0,0,36,20,93.64,3,0,36,20,1610612747,20000019,4,39,1,310,1,0,3,2,3,0,4,26,0
26,345,7.383876043,196,4,40,2,83.36,0,63.7856,40,1610612747,20000019,3,30,1,310,3,0,2,2,3,0,4,27,0
27,369,-183,186,30,46,0,3,0,30,53.4,1610612747,20000019,3,54,1,310,4,1,1,0,3,0,4,28,0
28,400,85,173,28.32938185,39,8,4,61.928,19,18.4,1610612747,20000019,3,39,1,310,3,3,2,8,4,0,4,29,0
29,429,3,87,22,28,73.64,4,0,22,28,1610612747,20000019,3,42,1,310,2,0,4,6,4,0,4,30,0
30,488,121,4,20,33.44888431,1,4,0,66.2,32,1610612747,20000019,3,44,1,310,2,4,2,1,4,0,4,31,1
31,499,127,34,30,33,0,4,0,30,38.4,1610612747,20000019,3,39,1,310,2,4,2,0,4,0,9,32,0
38,184,91,184,30,40,3,2,0,30,40,1610612747,20000047,3,39,2,311,3,3,2,3,2,0,4,39,1
39,202,-27,272,4,47,75.64,2,0,4,47,1610612747,20000047,3,39,2,311,4,0,1,0,2,0,4,40,1
40,212,-176,66,12,38,11,66.36,36.928,12,57.4,1610612747,20000047,3,39,2,311,3,2,2,11,3,0,4,41,0
41,219,7,4,13,20,36.64,3,0,13,20,1610612747,20000047,3,39,2,311,1,0,3,10,3,0,4,42,1
42,229,150,133,59,40,101.64,3,0,59,40,1610612747,20000047,3,39,2,311,3,3,2,8,3,0,4,43,1
43,233,49,15,29,25,8,15.99410934,0,29,25,1610612747,20000047,3,39,2,311,1,0,4,8,3,0,9,44,0
45,289,-4,4,21,20,40.64,63.36,0,39.02730256,20,1610612747,20000047,3,39,2,311,1,0,3,3,3,0,4,46,1
46,295,-4,91.1269335,55,33.44888431,2,3,0,55,20,1610612747,20000047,1,39,2,311,1,0,3,2,3,0,9,47,0
47,300,1,9,28.32938185,20,2,3,88.608,38,20,1610612747,20000047,3,12,2,311,1,0,3,2,3,0,4,48,1
48,398,121,120,55,37,4,69.36,0,55,37,1610612747,20000047,3,39,38,311,3,3,2,4,4,0,4,49,1
50,445,1,9,8,20,1,39.36,0,8,104.4,1610612747,20000047,3,39,38,1557,1,0,3,1,4,0,4,51,0
51,249.576028,-12,9,6,21,1,4,0,51.7856,21,1610612747,20000047,3,39,2,311,1,0,3,1,4,0,4,52,0
52,7,24,70,33,27,10,118.36,60.8,33,27,1610612747,20000049,3,25,3,312,1,0,4,10,1,0,4,53,0
53,11,-189,-4,4,38,10,1,0,4,38,1610612747,20000049,3,39,3,312,3,2,2,10,1,0,9,54,0
55,80,-155,194,33,44,2,78.36,0,21.2,44,1610612747,20000049,3,39,3,312,4,1,1,2,1,0,4,56,0
56,105,1,228,26,42,11,15.99410934,0,26,42,1610612747,20000049,3,37,3,312,3,0,2,0,2,0,4,57,1
57,132,0,0,40,20,8,2,0,111.2,20,1610612747,20000049,4,39,3,312,1,0,3,8,2,0,9,58,1
58,190,0,0,5,20,52.2,2,108.608,5,20,1610612747,20000049,1,39,3,312,1,0,3,4,2,0,4,59,1
60,214,-33,108,2,31,2,2,0,2,31,1610612747,20000049,3,36,3,312,2,0,4,2,2,0,4,61,0
